cindex,sindex
64.738,35.262
69.749,30.251
55.884,44.116
46.619,53.381
11.765,88.235
24.524,75.476
35.375,64.625
22.806,77.194
47.917,52.083
22.256,77.744
63.243,36.757
42.989,57.011
29.279,70.721
41.647,58.353
55.736,44.264
47.647,52.353
10.294,89.706
40.517,59.483
37.689,62.311
44.136,55.864
31.955,68.045
57.562,42.438
40.376,59.624
39.721,60.279
54.344,45.656
68.249,31.751
45.884,54.116
32.509,67.491
70.295,29.705
47.691,52.309
42.128,57.872
42.403,57.597
26.601,73.399
74.265,25.735
56.569,43.431
11.765,88.235
40.405,59.595
66.603,33.397
52.216,47.784
21.185,78.815
30.221,69.779
23.790,76.210
61.242,38.758
25.000,75.000
41.462,58.538
27.611,72.389
68.671,31.329
25.639,74.361
82.712,17.288
73.960,26.040
38.418,61.582
84.562,15.438
59.152,40.848
20.687,79.313
61.955,38.045
45.685,54.315
25.988,74.012
29.781,70.219
50.893,49.107
32.022,67.978
27.573,72.427
63.942,36.058
23.548,76.452
38.051,61.949
38.880,61.120
42.332,57.668
54.608,45.392
11.765,88.235
49.159,50.841
50.071,49.929
46.506,53.494
47.334,52.666
24.692,75.308
61.986,38.014
41.210,58.790
41.023,58.977
53.314,46.686
29.977,70.023
11.765,88.235
76.472,23.528
44.520,55.480
55.147,44.853
47.016,52.984
34.746,65.254
54.109,45.891
21.679,78.321
22.448,77.552
45.719,54.281
56.465,43.535
28.680,71.320
59.511,40.489
36.984,63.016
45.006,54.994
40.339,59.661
27.988,72.012
17.212,82.788
34.118,65.882
10.294,89.706
80.677,19.323
50.189,49.811
37.560,62.440
54.805,45.195
51.471,48.529
32.966,67.034
27.758,72.242
27.395,72.605
28.362,71.638
62.362,37.638
50.221,49.779
30.551,69.449
14.588,85.412
46.176,53.824
6.618,93.382
63.088,36.912
47.160,52.840
49.119,50.881
20.221,79.779
52.920,47.080
72.059,27.941
44.958,55.042
37.815,62.185
42.522,57.478
67.304,32.696
27.459,72.541
72.935,27.065
48.529,51.471
21.179,78.821
42.721,57.279
58.305,41.695
66.021,33.979
64.417,35.583
33.162,66.838
23.226,76.774
82.108,17.892
20.904,79.096
35.432,64.568
36.330,63.670
38.716,61.284
75.824,24.176
42.607,57.393
33.685,66.315
66.785,33.215
78.255,21.745
37.656,62.344
48.689,51.311
58.389,41.611
77.523,22.477
28.301,71.699
54.924,45.076
55.882,44.118
63.872,36.128
66.176,33.824
73.174,26.826
35.385,64.615
18.339,81.661
16.176,83.824
25.184,74.816
29.883,70.117
47.304,52.696
12.002,87.998
22.951,77.049
52.472,47.528
40.424,59.576
45.996,54.004
40.847,59.153
44.126,55.874
43.432,56.568
44.112,55.888
62.082,37.918
59.226,40.774
51.785,48.215
35.019,64.981
52.941,47.059
61.668,38.332
47.292,52.708
53.470,46.530
24.914,75.086
65.541,34.459
60.332,39.668
29.921,70.079
65.742,34.258
20.681,79.319
3.361,96.639
41.659,58.341
66.765,33.235
59.202,40.798
20.776,79.224
32.220,67.780
40.296,59.704
15.464,84.536
46.215,53.785
68.152,31.848
30.882,69.118
68.077,31.923
48.285,51.715
20.588,79.412
44.201,55.799
46.089,53.911
49.199,50.801
46.013,53.987
49.264,50.736
44.591,55.409
66.842,33.158
48.919,51.081
28.587,71.413
15.788,84.212
38.501,61.499
59.284,40.716
49.951,50.049
68.438,31.562
59.330,40.670
35.123,64.877
29.779,70.221
58.104,41.896
20.921,79.079
31.305,68.695
51.616,48.384
57.555,42.445
61.444,38.556
30.819,69.181
15.632,84.368
28.155,71.845
61.591,38.409
34.367,65.633
31.476,68.524
65.242,34.758
37.392,62.608
41.548,58.452
43.518,56.482
49.135,50.865
39.861,60.139
28.695,71.305
64.234,35.766
28.065,71.935
45.374,54.626
43.078,56.922
64.222,35.778
22.221,77.779
32.319,67.681
22.591,77.409
73.149,26.851
37.519,62.481
